"title","feedUrl","htmlUrl"
"Jisc blog","http://feeds.feedburner.com/JISCBlog","http://www.jisc.ac.uk/blog/rss.xml"
"Laura J. Hornbake","http://feeds.feedburner.com/LauraJHornbake","http://laurahornbake.tumblr.com/"
"Definitive History","http://feeds.feedburner.com/mattwiseman","http://www.mattwiseman.ca/"
"Moya Bailey","http://feeds.feedburner.com/MoyaBailey","http://moyabailey.com/"
"Museum 2.0","http://feeds.feedburner.com/museumtwo","http://museumtwo.blogspot.com/"
"nicomachus","http://feeds.feedburner.com/Nicomachusnet","http://nicomachus.net/"
"nirak.net","http://feeds.feedburner.com/Niraknet-KarinDalzielsWebpage","http://nirak.net/"
"one big library","http://feeds.feedburner.com/onebiglibrary","http://onebiglibrary.net/"
"Open Objects","http://feeds.feedburner.com/OpenObjects/atom","http://openobjects.blogspot.com/"
"The Quintessence of Ham","http://feeds.feedburner.com/quintessenceofham","http://quintessenceofham.org/"
"Hack Text","http://feeds.feedburner.com/ReadWriteView","http://hacktext.com/"
"Scholarship 2.0: An Idea Whose Time Has Come","http://feeds.feedburner.com/Scholarship20","http://scholarship20.blogspot.com/"
"Social Media in Higher Education","http://feeds.feedburner.com/smhe?format=xml","http://blog.reyjunco.com/"
"Snarkmarket","http://feeds.feedburner.com/snarkmarket","http://snarkmarket.com/"
"Software Studies","http://feeds.feedburner.com/SoftwareStudies","http://lab.softwarestudies.com/"
"Teleogistic","http://feeds.feedburner.com/Teleogistic","http://teleogistic.net/"
"Transparent Learning","http://feeds.feedburner.com/TransparentLearning","http://transparentlearning.blogspot.com/"
"Trevor Muñoz","http://feeds.feedburner.com/trevormunoz","http://trevormunoz.com/"
"Trevor Owens","http://feeds.feedburner.com/trevorowensblog","http://www.trevorowens.org/"
"virtualpolitik","http://feeds.feedburner.com/Virtualpolitik","http://virtualpolitik.blogspot.com/"
"Wynken de Worde","http://feeds.feedburner.com/WynkenDeWorde","http://sarahwerner.net/blog"
"Books blog | The Guardian","http://feeds.guardian.co.uk/theguardian/books/booksblog/rss","http://www.theguardian.com/books/booksblog"
"information aesthetics","http://feeds.infosthetics.com/infosthetics.com","http://infosthetics.com/"
"Ogle Earth","http://feeds.ogleearth.com/ogleearth","http://ogleearth.com/"
"Cybernetick InkwellCybernetick Inkwell »","http://feeds2.feedburner.com/CybernetickInkwell","http://cybernetickinkwell.com/"
"lauren's library blog","http://feeds2.feedburner.com/laurenslibraryblog","http://laurenpressley.com/library"
"Spellbound Blog","http://feeds2.feedburner.com/Spellboundblog","http://www.spellboundblog.com/"
"Inscape","http://feeds2.feedburner.com/Stratego","http://landscape.blogspot.com/"
"Ruth Fillery-Travis","http://findsandfeatures.wordpress.com/feed/","http://findsandfeatures.wordpress.com/"
"Christian Fuchs","http://fuchs.uti.at/feed/","http://fuchs.uti.at/"
"futureArch, or the future of archives...","http://futurearchives.blogspot.com/feeds/posts/default","http://futurearchives.blogspot.com/"
"game_philosophy@unimore","http://game-philosophy.blogspot.com/feeds/posts/default","http://game-philosophy.blogspot.com/"
"Gamification Co","http://gamification.co/feed/","http://www.gamification.co/"
"Go To Hellman","http://go-to-hellman.blogspot.com/feeds/posts/default","http://go-to-hellman.blogspot.com/"
"Goose Commerce","http://goosecommerce.wordpress.com/feed/","http://goosecommerce.wordpress.com/"
"http://hastac.org/blog/1389/feed","http://hastac.org/blog/1389/feed","http://www.hastac.org/blog/feed/1389"
"http://hastac.org/blogs/cathy-davidson/feed","http://hastac.org/blogs/cathy-davidson/feed","http://www.hastac.org/blog/feed/79"
"http://hastac.org/blogs/ernesto-priego/feed","http://hastac.org/blogs/ernesto-priego/feed","http://www.hastac.org/blog/feed/5636"
"http://hastac.org/featured/feed","http://hastac.org/featured/feed","http://www.hastac.org/featured/feed"
"Digital Histories at YaleDigital Histories at Yale","http://histi3.commons.yale.edu/feed/","http://histi3.commons.yale.edu/"
"History HacksHistory Hacks","http://historyhacks.org/feed/","http://historyhacks.org/"
